Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Season Year
86,Ousmane Dieng,SF,21,OKC,2,34,11.1,.487,.636,.273,0.0,23.3,11.5,3.7,0.0,5.7,0.0,14.3,,0.0,0.1,0.1,.195,,-3.3,2.2,-1.1,0.0,2025
87,Spencer Dinwiddie,PG,31,DAL,1,3,4.2,,,,0.0,37.2,16.4,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.053,,-11.5,0.1,-11.4,0.0,2025
88,Donte DiVincenzo,SG,28,MIN,3,82,7.3,.453,.694,.167,2.8,5.2,4.1,13.1,1.8,0.0,11.5,23.2,,-0.1,0.1,0.0,-0.023,,-4.8,-1.7,-6.4,-0.1,2025
89,Luka Dončić,PG,25,DAL,2,76,25.4,.578,.480,.400,2.3,26.4,13.0,28.9,0.6,2.8,9.3,35.3,,0.2,0.1,0.3,.193,,6.9,-0.1,6.7,0.2,2025
90,Luguentz Dort,SG,25,OKC,2,53,6.6,.450,.417,.250,1.6,5.0,3.3,2.2,2.5,1.8,7.0,10.6,,0.0,0.2,0.2,.142,,-7.5,2.8,-4.8,0.0,2025
91,Ayo Dosunmu,SG,25,CHI,3,77,0.7,.260,.640,.000,0.0,17.6,8.8,24.1,0.0,1.0,16.7,15.5,,-0.2,0.1,-0.2,-0.099,,-7.7,-2.4,-10.1,-0.2,2025
92,Jeff Dowtin,PG,27,PHI,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.033,,-8.0,-3.7,-11.6,0.0,2025
93,Andre Drummond,C,31,PHI,2,47,17.6,.449,.053,.526,22.2,29.6,25.4,0.0,4.1,4.3,11.4,22.9,,0.0,0.1,0.1,.057,,-3.4,-3.2,-6.6,-0.1,2025
94,Chris Duarte,SG,27,CHI,2,6,41.0,1.500,1.000,.000,0.0,0.0,0.0,33.3,0.0,0.0,0.0,13.3,,0.0,0.0,0.1,.417,,22.8,3.6,26.4,0.0,2025
95,Alex Ducas,SG,24,OKC,2,4,-8.6,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,,0.0,0.0,0.0,-0.132,,-13.5,-2.9,-16.5,0.0,2025
