,Team,Season Year,Player 01,Player 02,Player 03,Player 04,Player 05,Player 06,Player 07,Player 08,Player 09,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15
68,GSW,2024,Stephen Curry,Klay Thompson,Andrew Wiggins,Kevon Looney,Draymond Green,Chris Paul,Dario Šarić,Jonathan Kuminga,Gary Payton II,Moses Moody,,,,,
69,HOU,2024,Jalen Green,Jabari Smith Jr.,Dillon Brooks,Alperen Sengun,Fred VanVleet,Jae'Sean Tate,Jeff Green,Amen Thompson,Reggie Bullock,,,,,,
70,SAS,2024,Devin Vassell,Victor Wembanyama,Zach Collins,Keldon Johnson,Jeremy Sochan,Malaki Branham,Tre Jones,Cedi Osman,Charles Bassey,Doug McDermott,Julian Champagnie,Blake Wesley,Sandro Mamukelashvili,Dominick Barlow,
71,LAC,2024,Kawhi Leonard,Paul George,Russell Westbrook,Robert Covington,Ivica Zubac,Bones Hyland,Mason Plumlee,Norman Powell,KJ Martin,Nicolas Batum,Amir Coffey,Kobe Brown,Moussa Diabaté,,
72,ATL,2024,Trae Young,Dejounte Murray,Jalen Johnson,De'Andre Hunter,Clint Capela,Saddiq Bey,Bogdan Bogdanović,Onyeka Okongwu,AJ Griffin,Bruno Fernando,Trent Forrest,Kobe Bufkin,Mouhamed Gueye,,
73,MIL,2024,Malik Beasley,Giannis Antetokounmpo,Damian Lillard,Jae Crowder,Brook Lopez,Pat Connaughton,Bobby Portis,MarJon Beauchamp,Cameron Payne,Thanasis Antetokounmpo,Andre Jackson Jr.,A.J. Green,Robin Lopez,TyTy Washington Jr.,
74,DEN,2024,Jamal Murray,Nikola Jokić,Kentavious Caldwell-Pope,Michael Porter Jr.,Aaron Gordon,Reggie Jackson,Peyton Watson,Christian Braun,Zeke Nnaji,Julian Strawther,Collin Gillespie,Braxton Key,Justin Holiday,Hunter Tyson,
75,OKC,2024,Shai Gilgeous-Alexander,Jalen Williams,Chet Holmgren,Josh Giddey,Luguentz Dort,Cason Wallace,Ousmane Dieng,Isaiah Joe,Aleksej Pokusevski,Vasilije Micić,Aaron Wiggins,Tre Mann,Keyontae Johnson,Olivier Sarr,
76,POR,2024,Shaedon Sharpe,Jerami Grant,Scoot Henderson,Deandre Ayton,Matisse Thybulle,Toumani Camara,Malcolm Brogdon,Robert Williams,Jabari Walker,Kris Murray,Skylar Mays,Rayan Rupert,,,
77,PHI,2024,Tobias Harris,Tyrese Maxey,De'Anthony Melton,Joel Embiid,P.J. Tucker,Kelly Oubre Jr.,Patrick Beverley,Paul Reed,Danuel House Jr.,Jaden Springer,Furkan Korkmaz,Filip Petrušev,Mo Bamba,,
78,LAL,2024,Anthony Davis,Taurean Prince,D'Angelo Russell,LeBron James,Austin Reaves,Gabe Vincent,Rui Hachimura,Christian Wood,Jaxson Hayes,Cam Reddish,,,,,
79,SAC,2024,Harrison Barnes,Kevin Huerter,De'Aaron Fox,Domantas Sabonis,Keegan Murray,Malik Monk,Sasha Vezenkov,Davion Mitchell,JaVale McGee,Chris Duarte,,,,,
