,Team,Season Year,Player 01,Player 02,Player 03,Player 04,Player 05,Player 06,Player 07,Player 08,Player 09,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15
19381,CHO,2017,Kemba Walker,Marvin Williams,Michael Kidd-Gilchrist,Nicolas Batum,Cody Zeller,Marco Belinelli,Frank Kaminsky,Miles Plumlee,Brian Roberts,Jeremy Lamb,,,,,
19382,UTA,2017,Gordon Hayward,Joe Ingles,Rudy Gobert,Derrick Favors,Dante Exum,Joe Johnson,Shelvin Mack,Alec Burks,Boris Diaw,Trey Lyles,,,,,
19383,DAL,2017,Harrison Barnes,Seth Curry,Wesley Matthews,Dirk Nowitzki,Yogi Ferrell,Devin Harris,Salah Mejri,Dorian Finney-Smith,Justin Anderson,Dwight Powell,,,,,
19384,CLE,2017,LeBron James,Kyrie Irving,Tristan Thompson,Kevin Love,Jordan McRae,Kyle Korver,Derrick Williams,Channing Frye,Kay Felder,Richard Jefferson,James Jones,DeAndre Liggins,,,
19385,OKC,2017,Andre Roberson,Steven Adams,Victor Oladipo,Russell Westbrook,Domantas Sabonis,Joffrey Lauvergne,Jerami Grant,Cameron Payne,Álex Abrines,Anthony Morrow,,,,,
19386,PHI,2017,Robert Covington,T.J. McConnell,Ersan İlyasova,Jahlil Okafor,Gerald Henderson,Nik Stauskas,Dario Šarić,Nerlens Noel,Sergio Rodríguez,Timothé Luwawu-Cabarrot,,,,,
19387,ORL,2017,Evan Fournier,Serge Ibaka,Nikola Vučević,C.J. Watson,Mario Hezonja,Elfrid Payton,D.J. Augustin,Jeff Green,Bismack Biyombo,,,,,,
19388,BOS,2017,Isaiah Thomas,Marcus Smart,Jaylen Brown,Al Horford,Amir Johnson,Terry Rozier,Kelly Olynyk,Gerald Green,Jonas Jerebko,Tyler Zeller,James Young,,,,
19389,POR,2017,Damian Lillard,CJ McCollum,Mason Plumlee,Maurice Harkless,Noah Vonleh,Al-Farouq Aminu,Allen Crabbe,Meyers Leonard,Pat Connaughton,,,,,,
19390,MIA,2017,Rodney McGruder,Goran Dragić,Hassan Whiteside,Wayne Ellington,Luke Babbitt,Tyler Johnson,James Johnson,Okaro White,Willie Reed,,,,,,
19391,BRK,2017,Brook Lopez,Bojan Bogdanović,Randy Foye,Rondae Hollis-Jefferson,Spencer Dinwiddie,Trevor Booker,Joe Harris,Caris LeVert,Justin Hamilton,Sean Kilpatrick,Isaiah Whitehead,,,,
19392,SAS,2017,Kawhi Leonard,LaMarcus Aldridge,Dewayne Dedmon,Tony Parker,Danny Green,David Lee,Manu Ginóbili,Patty Mills,Jonathon Simmons,Dāvis Bertāns,,,,,
19393,DET,2017,Andre Drummond,Kentavious Caldwell-Pope,Jon Leuer,Reggie Jackson,Marcus Morris,Tobias Harris,Ish Smith,Stanley Johnson,Aron Baynes,,,,,,
19394,GSW,2017,Klay Thompson,Draymond Green,Stephen Curry,Kevin Durant,JaVale McGee,Andre Iguodala,Kevon Looney,Shaun Livingston,James Michael McAdoo,Patrick McCaw,Ian Clark,Briante Weber,Damian Jones,,
19395,MEM,2017,Marc Gasol,Mike Conley,James Ennis III,Tony Allen,JaMychal Green,Zach Randolph,Vince Carter,Toney Douglas,Troy Daniels,Brandan Wright,Andrew Harrison,,,,
19396,LAL,2017,Nick Young,D'Angelo Russell,Julius Randle,Brandon Ingram,Tarik Black,Luol Deng,Larry Nance Jr.,Jordan Clarkson,Ivica Zubac,Lou Williams,,,,,
19397,MIL,2017,Giannis Antetokounmpo,Tony Snell,Matthew Dellavedova,Thon Maker,John Henson,Malcolm Brogdon,Michael Beasley,Khris Middleton,Greg Monroe,Mirza Teletović,Jason Terry,,,,
19398,NOP,2017,Dante Cunningham,Jrue Holiday,Solomon Hill,Anthony Davis,Buddy Hield,Langston Galloway,Tim Frazier,Donatas Motiejūnas,Ömer Aşık,,,,,,
19399,MIN,2017,Ricky Rubio,Karl-Anthony Towns,Andrew Wiggins,Gorgui Dieng,Brandon Rush,Shabazz Muhammad,Nemanja Bjelica,Lance Stephenson,Tyus Jones,Kris Dunn,Cole Aldrich,,,,
19400,DEN,2017,Nikola Jokić,Wilson Chandler,Jameer Nelson,Gary Harris,Darrell Arthur,Will Barton,Juancho Hernangómez,Jamal Murray,Jusuf Nurkić,,,,,,
19401,NYK,2017,Brandon Jennings,Carmelo Anthony,Kristaps Porziņģis,Courtney Lee,Derrick Rose,Kyle O'Quinn,Justin Holiday,Ron Baker,Willy Hernangómez,Maurice Ndour,,,,,
19402,CHI,2017,Jimmy Butler,Dwyane Wade,Taj Gibson,Robin Lopez,Jerian Grant,Rajon Rondo,Cristiano Felício,Doug McDermott,Denzel Valentine,Nikola Mirotić,Michael Carter-Williams,Bobby Portis,Isaiah Canaan,,
19403,PHO,2017,T.J. Warren,Devin Booker,Eric Bledsoe,Marquese Chriss,Tyson Chandler,P.J. Tucker,Alan Williams,Brandon Knight,Jared Dudley,Leandro Barbosa,Tyler Ulis,Ronnie Price,,,
19404,ATL,2017,Paul Millsap,Tim Hardaway Jr.,Dennis Schröder,Kent Bazemore,Dwight Howard,DeAndre' Bembry,Malcolm Delaney,Kris Humphries,Mike Dunleavy,Mike Muscala,,,,,
19405,SAC,2017,Darren Collison,Ben McLemore,DeMarcus Cousins,Arron Afflalo,Kosta Koufos,Anthony Tolliver,Matt Barnes,Willie Cauley-Stein,Malachi Richardson,,,,,,
19406,IND,2017,Paul George,Myles Turner,Jeff Teague,Lavoy Allen,C.J. Miles,Monta Ellis,Kevin Séraphin,Rodney Stuckey,Al Jefferson,Glenn Robinson III,,,,,
19407,WAS,2017,John Wall,Bradley Beal,Marcin Gortat,Markieff Morris,Otto Porter Jr.,Kelly Oubre Jr.,Jason Smith,Trey Burke,Tomáš Satoranský,Ian Mahinmi,,,,,
19408,LAC,2017,Austin Rivers,Blake Griffin,DeAndre Jordan,J.J. Redick,Luc Mbah a Moute,Raymond Felton,Jamal Crawford,Marreese Speights,Alan Anderson,Wesley Johnson,,,,,
19409,CHO,2017,Kemba Walker,Nicolas Batum,Frank Kaminsky,Marvin Williams,Michael Kidd-Gilchrist,Marco Belinelli,Jeremy Lamb,Miles Plumlee,Brian Roberts,,,,,,
19410,DEN,2017,Nikola Jokić,Jameer Nelson,Wilson Chandler,Gary Harris,Darrell Arthur,Will Barton,Jamal Murray,Juancho Hernangómez,Mike Miller,Johnny O'Bryant,Malik Beasley,,,,
19411,CLE,2017,Tristan Thompson,Kyrie Irving,Kevin Love,LeBron James,DeAndre Liggins,Kyle Korver,Derrick Williams,Richard Jefferson,Channing Frye,,,,,,
19412,ORL,2017,Mario Hezonja,C.J. Watson,Evan Fournier,Nikola Vučević,Serge Ibaka,D.J. Augustin,Bismack Biyombo,Elfrid Payton,Jeff Green,Damjan Rudež,,,,,
19413,DAL,2017,Harrison Barnes,Seth Curry,Wesley Matthews,Dirk Nowitzki,Deron Williams,Yogi Ferrell,Salah Mejri,Justin Anderson,Dwight Powell,Dorian Finney-Smith,Nicolás Brussino,Devin Harris,,,
19414,PHO,2017,Marquese Chriss,T.J. Warren,Devin Booker,Brandon Knight,Alex Len,Tyler Ulis,Jared Dudley,P.J. Tucker,Leandro Barbosa,Alan Williams,Ronnie Price,Derrick Jones Jr.,,,
19415,HOU,2017,Ryan Anderson,Trevor Ariza,James Harden,Patrick Beverley,Clint Capela,Sam Dekker,Corey Brewer,Montrezl Harrell,Nenê,Tyler Ennis,K.J. McDaniels,Bobby Brown,,,
19416,MIL,2017,Giannis Antetokounmpo,Matthew Dellavedova,Michael Beasley,Thon Maker,Tony Snell,Malcolm Brogdon,Greg Monroe,Rashad Vaughn,Mirza Teletović,,,,,,
19417,IND,2017,Paul George,C.J. Miles,Jeff Teague,Myles Turner,Lavoy Allen,Monta Ellis,Al Jefferson,Rodney Stuckey,Glenn Robinson III,Kevin Séraphin,,,,,
19418,GSW,2017,Draymond Green,Stephen Curry,Klay Thompson,Kevin Durant,JaVale McGee,Andre Iguodala,Shaun Livingston,Ian Clark,Kevon Looney,James Michael McAdoo,Briante Weber,Damian Jones,Patrick McCaw,,
19419,OKC,2017,Russell Westbrook,Steven Adams,Victor Oladipo,Andre Roberson,Domantas Sabonis,Jerami Grant,Anthony Morrow,Joffrey Lauvergne,Cameron Payne,Álex Abrines,Semaj Christon,Nick Collison,,,
19420,MIA,2017,Goran Dragić,Wayne Ellington,Hassan Whiteside,Rodney McGruder,Luke Babbitt,James Johnson,Tyler Johnson,Okaro White,Willie Reed,,,,,,
19421,PHI,2017,T.J. McConnell,Nerlens Noel,Robert Covington,Gerald Henderson,Ersan İlyasova,Nik Stauskas,Dario Šarić,Richaun Holmes,Sergio Rodríguez,Timothé Luwawu-Cabarrot,,,,,
19422,BOS,2017,Marcus Smart,Isaiah Thomas,Al Horford,Amir Johnson,Jaylen Brown,Kelly Olynyk,Terry Rozier,Gerald Green,Jonas Jerebko,James Young,,,,,
19423,UTA,2017,Gordon Hayward,George Hill,Rudy Gobert,Joe Ingles,Derrick Favors,Trey Lyles,Joe Johnson,Alec Burks,Boris Diaw,Dante Exum,Shelvin Mack,,,,
19424,CHI,2017,Michael Carter-Williams,Doug McDermott,Robin Lopez,Jerian Grant,Taj Gibson,Bobby Portis,Cristiano Felício,Rajon Rondo,Denzel Valentine,Isaiah Canaan,,,,,
19425,MIN,2017,Karl-Anthony Towns,Gorgui Dieng,Andrew Wiggins,Ricky Rubio,Brandon Rush,Nemanja Bjelica,Shabazz Muhammad,Lance Stephenson,Kris Dunn,Cole Aldrich,Tyus Jones,,,,
19426,SAS,2017,LaMarcus Aldridge,Kawhi Leonard,Danny Green,Tony Parker,Dewayne Dedmon,David Lee,Patty Mills,Manu Ginóbili,Dāvis Bertāns,Kyle Anderson,,,,,
19427,NYK,2017,Carmelo Anthony,Kristaps Porziņģis,Courtney Lee,Derrick Rose,Willy Hernangómez,Kyle O'Quinn,Brandon Jennings,Lance Thomas,Justin Holiday,,,,,,
19428,NOP,2017,Anthony Davis,Jrue Holiday,Dante Cunningham,Solomon Hill,Buddy Hield,Langston Galloway,Donatas Motiejūnas,Tyreke Evans,Tim Frazier,,,,,,
19429,SAC,2017,Darren Collison,DeMarcus Cousins,Arron Afflalo,Ben McLemore,Kosta Koufos,Matt Barnes,Anthony Tolliver,Willie Cauley-Stein,Malachi Richardson,,,,,,
19430,DET,2017,Kentavious Caldwell-Pope,Marcus Morris,Andre Drummond,Reggie Jackson,Jon Leuer,Tobias Harris,Ish Smith,Stanley Johnson,Aron Baynes,,,,,,
19431,TOR,2017,DeMar DeRozan,DeMarre Carroll,Kyle Lowry,Jonas Valančiūnas,Jakob Poeltl,Lucas Nogueira,Cory Joseph,Terrence Ross,Norman Powell,,,,,,
19432,MEM,2017,Mike Conley,Marc Gasol,James Ennis III,Chandler Parsons,JaMychal Green,Brandan Wright,Vince Carter,Toney Douglas,Zach Randolph,Troy Daniels,,,,,
19433,BRK,2017,Brook Lopez,Spencer Dinwiddie,Rondae Hollis-Jefferson,Bojan Bogdanović,Randy Foye,Sean Kilpatrick,Trevor Booker,Caris LeVert,Isaiah Whitehead,Luis Scola,Joe Harris,,,,
19434,PHI,2017,T.J. McConnell,Robert Covington,Nerlens Noel,Gerald Henderson,Ersan İlyasova,Dario Šarić,Nik Stauskas,Richaun Holmes,Sergio Rodríguez,Timothé Luwawu-Cabarrot,,,,,
19435,CHO,2017,Nicolas Batum,Kemba Walker,Frank Kaminsky,Marvin Williams,Michael Kidd-Gilchrist,Marco Belinelli,Jeremy Lamb,Brian Roberts,Miles Plumlee,,,,,,
19436,BOS,2017,Marcus Smart,Isaiah Thomas,Al Horford,Jae Crowder,Amir Johnson,Kelly Olynyk,Terry Rozier,Gerald Green,Jonas Jerebko,James Young,Jordan Mickey,,,,
19437,DAL,2017,Harrison Barnes,Wesley Matthews,Seth Curry,Dirk Nowitzki,Deron Williams,Yogi Ferrell,Devin Harris,Dwight Powell,Salah Mejri,Dorian Finney-Smith,Justin Anderson,Nicolás Brussino,,,
19438,GSW,2017,Patrick McCaw,Stephen Curry,Kevin Durant,Draymond Green,JaVale McGee,Ian Clark,Briante Weber,Andre Iguodala,Kevon Looney,James Michael McAdoo,Damian Jones,,,,
19439,DEN,2017,Juancho Hernangómez,Will Barton,Nikola Jokić,Jameer Nelson,Gary Harris,Jamal Murray,Johnny O'Bryant,Mike Miller,Malik Beasley,,,,,,
19440,SAS,2017,Kawhi Leonard,LaMarcus Aldridge,Danny Green,Tony Parker,Dewayne Dedmon,David Lee,Patty Mills,Jonathon Simmons,Manu Ginóbili,Kyle Anderson,,,,,
19441,IND,2017,Paul George,Myles Turner,Jeff Teague,Kevin Séraphin,Glenn Robinson III,Monta Ellis,C.J. Miles,Rodney Stuckey,Al Jefferson,,,,,,
19442,ORL,2017,Evan Fournier,Nikola Vučević,Aaron Gordon,Serge Ibaka,C.J. Watson,Elfrid Payton,Jeff Green,Mario Hezonja,Bismack Biyombo,D.J. Augustin,,,,,
19443,MIA,2017,Goran Dragić,Hassan Whiteside,Dion Waiters,Rodney McGruder,Luke Babbitt,Tyler Johnson,James Johnson,Wayne Ellington,Willie Reed,Okaro White,,,,,
19444,DET,2017,Marcus Morris,Jon Leuer,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,Tobias Harris,Ish Smith,Stanley Johnson,Boban Marjanović,Aron Baynes,,,,,
19445,MIL,2017,Giannis Antetokounmpo,Michael Beasley,Tony Snell,Matthew Dellavedova,Thon Maker,Greg Monroe,Malcolm Brogdon,Khris Middleton,Jason Terry,Mirza Teletović,Rashad Vaughn,,,,
19446,NOP,2017,Anthony Davis,Jrue Holiday,Solomon Hill,Buddy Hield,Alexis Ajinça,Tyreke Evans,E'Twaun Moore,Langston Galloway,Donatas Motiejūnas,,,,,,
19447,PHO,2017,Eric Bledsoe,Devin Booker,Tyson Chandler,T.J. Warren,Marquese Chriss,P.J. Tucker,Alex Len,Brandon Knight,Jared Dudley,Leandro Barbosa,,,,,
19448,ATL,2017,Tim Hardaway Jr.,Dennis Schröder,Paul Millsap,Dwight Howard,Kent Bazemore,Taurean Prince,Mike Muscala,Malcolm Delaney,Mike Dunleavy,DeAndre' Bembry,,,,,
19449,POR,2017,Damian Lillard,CJ McCollum,Maurice Harkless,Meyers Leonard,Noah Vonleh,Al-Farouq Aminu,Allen Crabbe,Ed Davis,Pat Connaughton,Shabazz Napier,,,,,
19450,LAC,2017,Luc Mbah a Moute,Blake Griffin,Austin Rivers,DeAndre Jordan,J.J. Redick,Jamal Crawford,Raymond Felton,Marreese Speights,Alan Anderson,Wesley Johnson,,,,,
19451,UTA,2017,Gordon Hayward,George Hill,Rudy Gobert,Derrick Favors,Joe Ingles,Joe Johnson,Alec Burks,Dante Exum,Boris Diaw,Trey Lyles,Raul Neto,Jeff Withey,,,
19452,OKC,2017,Russell Westbrook,Domantas Sabonis,Steven Adams,Victor Oladipo,Andre Roberson,Joffrey Lauvergne,Jerami Grant,Cameron Payne,Álex Abrines,Kyle Singler,Anthony Morrow,Semaj Christon,,,
19453,WAS,2017,Otto Porter Jr.,Markieff Morris,John Wall,Marcin Gortat,Bradley Beal,Trey Burke,Jason Smith,Tomáš Satoranský,Ian Mahinmi,Kelly Oubre Jr.,Sheldon Mac,Andrew Nicholson,,,
19454,TOR,2017,DeMarre Carroll,DeMar DeRozan,Kyle Lowry,Jonas Valančiūnas,Jakob Poeltl,Cory Joseph,Lucas Nogueira,Norman Powell,Delon Wright,Pascal Siakam,,,,,
19455,CHI,2017,Jimmy Butler,Michael Carter-Williams,Taj Gibson,Robin Lopez,Jerian Grant,Doug McDermott,Cristiano Felício,Rajon Rondo,Denzel Valentine,Bobby Portis,,,,,
19456,SAC,2017,Darren Collison,Arron Afflalo,DeMarcus Cousins,Ben McLemore,Kosta Koufos,Matt Barnes,Anthony Tolliver,Willie Cauley-Stein,Malachi Richardson,,,,,,
19457,LAL,2017,Nick Young,Brandon Ingram,D'Angelo Russell,Tarik Black,Julius Randle,Jordan Clarkson,Lou Williams,Larry Nance Jr.,Luol Deng,Timofey Mozgov,Ivica Zubac,,,,
19458,CLE,2017,LeBron James,Kyrie Irving,Tristan Thompson,Channing Frye,Iman Shumpert,Kyle Korver,Derrick Williams,Richard Jefferson,James Jones,,,,,,
19459,MIN,2017,Andrew Wiggins,Ricky Rubio,Karl-Anthony Towns,Gorgui Dieng,Brandon Rush,Nemanja Bjelica,Shabazz Muhammad,Kris Dunn,Cole Aldrich,Lance Stephenson,,,,,
19460,PHI,2017,Nerlens Noel,Robert Covington,T.J. McConnell,Gerald Henderson,Ersan İlyasova,Dario Šarić,Nik Stauskas,Sergio Rodríguez,Jahlil Okafor,Timothé Luwawu-Cabarrot,,,,,
19461,BOS,2017,Jae Crowder,Marcus Smart,Isaiah Thomas,Al Horford,Amir Johnson,Kelly Olynyk,James Young,Terry Rozier,Jonas Jerebko,Tyler Zeller,Gerald Green,,,,
19462,MIL,2017,Giannis Antetokounmpo,Tony Snell,Matthew Dellavedova,Michael Beasley,Thon Maker,Greg Monroe,Khris Middleton,Rashad Vaughn,Malcolm Brogdon,Mirza Teletović,,,,,
19463,BRK,2017,Brook Lopez,Bojan Bogdanović,Spencer Dinwiddie,Rondae Hollis-Jefferson,Randy Foye,Trevor Booker,Joe Harris,Sean Kilpatrick,Isaiah Whitehead,Caris LeVert,Justin Hamilton,,,,
19464,IND,2017,Paul George,Jeff Teague,Myles Turner,Kevin Séraphin,Glenn Robinson III,Monta Ellis,C.J. Miles,Al Jefferson,Aaron Brooks,Rodney Stuckey,Rakeem Christmas,Georges Niang,Joe Young,,
19465,CLE,2017,Tristan Thompson,Kyrie Irving,LeBron James,Channing Frye,Iman Shumpert,Derrick Williams,Kyle Korver,Richard Jefferson,DeAndre Liggins,James Jones,Kay Felder,Jordan McRae,,,
19466,MIN,2017,Karl-Anthony Towns,Andrew Wiggins,Ricky Rubio,Gorgui Dieng,Brandon Rush,Nemanja Bjelica,Kris Dunn,Shabazz Muhammad,Tyus Jones,,,,,,
19467,DEN,2017,Gary Harris,Jameer Nelson,Nikola Jokić,Mason Plumlee,Juancho Hernangómez,Will Barton,Jamal Murray,Johnny O'Bryant,,,,,,,
19468,DAL,2017,Harrison Barnes,Wesley Matthews,Seth Curry,Dirk Nowitzki,Deron Williams,Yogi Ferrell,Andrew Bogut,Devin Harris,Dorian Finney-Smith,Justin Anderson,Salah Mejri,,,,
19469,DET,2017,Kentavious Caldwell-Pope,Marcus Morris,Jon Leuer,Reggie Jackson,Andre Drummond,Aron Baynes,Tobias Harris,Ish Smith,Stanley Johnson,,,,,,
19470,SAC,2017,Ben McLemore,Darren Collison,DeMarcus Cousins,Arron Afflalo,Kosta Koufos,Matt Barnes,Anthony Tolliver,Malachi Richardson,Willie Cauley-Stein,Skal Labissière,Georgios Papagiannis,,,,
19471,GSW,2017,Kevin Durant,Klay Thompson,Stephen Curry,JaVale McGee,Draymond Green,Andre Iguodala,Patrick McCaw,Ian Clark,Kevon Looney,Shaun Livingston,James Michael McAdoo,Damian Jones,Briante Weber,,
19472,MIA,2017,Dion Waiters,Goran Dragić,Hassan Whiteside,Rodney McGruder,Luke Babbitt,Tyler Johnson,James Johnson,Willie Reed,Wayne Ellington,,,,,,
19473,HOU,2017,James Harden,Trevor Ariza,Ryan Anderson,Clint Capela,Patrick Beverley,Eric Gordon,Corey Brewer,Sam Dekker,Nenê,Montrezl Harrell,,,,,
19474,ATL,2017,Paul Millsap,Dennis Schröder,Tim Hardaway Jr.,Dwight Howard,Kent Bazemore,Taurean Prince,Malcolm Delaney,Mike Dunleavy,Kris Humphries,Mike Scott,Mike Muscala,Lamar Patterson,DeAndre' Bembry,,
19475,LAC,2017,Blake Griffin,DeAndre Jordan,Austin Rivers,J.J. Redick,Luc Mbah a Moute,Raymond Felton,Jamal Crawford,Alan Anderson,Wesley Johnson,Marreese Speights,Brandon Bass,Diamond Stone,,,
19476,NOP,2017,Anthony Davis,Solomon Hill,Alexis Ajinça,Jrue Holiday,Buddy Hield,Tyreke Evans,Donatas Motiejūnas,E'Twaun Moore,Langston Galloway,,,,,,
19477,MEM,2017,Marc Gasol,Mike Conley,JaMychal Green,Chandler Parsons,Tony Allen,Zach Randolph,Vince Carter,Toney Douglas,James Ennis III,Brandan Wright,Troy Daniels,,,,
19478,NYK,2017,Courtney Lee,Carmelo Anthony,Derrick Rose,Kristaps Porziņģis,Willy Hernangómez,Ron Baker,Justin Holiday,Lance Thomas,Kyle O'Quinn,,,,,,
19479,OKC,2017,Russell Westbrook,Victor Oladipo,Andre Roberson,Steven Adams,Domantas Sabonis,Jerami Grant,Joffrey Lauvergne,Álex Abrines,Cameron Payne,Anthony Morrow,,,,,
19480,SAS,2017,Dewayne Dedmon,LaMarcus Aldridge,Kawhi Leonard,Tony Parker,Danny Green,Jonathon Simmons,Patty Mills,David Lee,Dāvis Bertāns,Manu Ginóbili,Kyle Anderson,Dejounte Murray,Joel Anthony,,
19481,ORL,2017,Jeff Green,Evan Fournier,Aaron Gordon,Nikola Vučević,C.J. Watson,Elfrid Payton,Mario Hezonja,D.J. Augustin,Bismack Biyombo,Damjan Rudež,Stephen Zimmerman,,,,
19482,LAL,2017,Julius Randle,Brandon Ingram,D'Angelo Russell,Nick Young,Tarik Black,Jordan Clarkson,Lou Williams,Luol Deng,Larry Nance Jr.,Ivica Zubac,Marcelo Huertas,,,,
19483,PHO,2017,Eric Bledsoe,Devin Booker,Marquese Chriss,T.J. Warren,Tyson Chandler,Alex Len,P.J. Tucker,Brandon Knight,Jared Dudley,Leandro Barbosa,Tyler Ulis,Alan Williams,Derrick Jones Jr.,,
19484,CHO,2017,Kemba Walker,Marvin Williams,Frank Kaminsky,Michael Kidd-Gilchrist,Nicolas Batum,Marco Belinelli,Jeremy Lamb,Mike Tobey,Brian Roberts,Treveon Graham,,,,,
19485,TOR,2017,Kyle Lowry,DeMarre Carroll,DeMar DeRozan,Norman Powell,Jonas Valančiūnas,Delon Wright,Cory Joseph,Lucas Nogueira,Jakob Poeltl,,,,,,
19486,POR,2017,Damian Lillard,Maurice Harkless,CJ McCollum,Meyers Leonard,Ed Davis,Allen Crabbe,Noah Vonleh,Jusuf Nurkić,Pat Connaughton,Shabazz Napier,Tim Quarterman,Jake Layman,,,
19487,UTA,2017,Gordon Hayward,Rudy Gobert,Joe Ingles,George Hill,Derrick Favors,Joe Johnson,Boris Diaw,Dante Exum,Alec Burks,Raul Neto,Jeff Withey,Trey Lyles,,,
19488,BOS,2017,Isaiah Thomas,Jae Crowder,Marcus Smart,Al Horford,Amir Johnson,Kelly Olynyk,Terry Rozier,Gerald Green,Jonas Jerebko,James Young,Tyler Zeller,,,,
19489,CHI,2017,Jimmy Butler,Taj Gibson,Jerian Grant,Robin Lopez,Michael Carter-Williams,Doug McDermott,Bobby Portis,Rajon Rondo,Cristiano Felício,Denzel Valentine,,,,,
19490,WAS,2017,John Wall,Bradley Beal,Otto Porter Jr.,Marcin Gortat,Markieff Morris,Kelly Oubre Jr.,Ian Mahinmi,Trey Burke,Jason Smith,Tomáš Satoranský,,,,,
19491,IND,2017,Paul George,Myles Turner,Jeff Teague,Kevin Séraphin,Glenn Robinson III,Monta Ellis,C.J. Miles,Rodney Stuckey,Al Jefferson,,,,,,
19492,NYK,2017,Carmelo Anthony,Courtney Lee,Derrick Rose,Willy Hernangómez,Kristaps Porziņģis,Lance Thomas,Kyle O'Quinn,Brandon Jennings,Justin Holiday,Mindaugas Kuzminskas,Sasha Vujačić,Ron Baker,Maurice Ndour,,
19493,CLE,2017,LeBron James,Tristan Thompson,Kyrie Irving,Channing Frye,Iman Shumpert,Kyle Korver,Derrick Williams,Richard Jefferson,Jordan McRae,DeAndre Liggins,Kay Felder,James Jones,,,
19494,CHO,2017,Kemba Walker,Nicolas Batum,Marvin Williams,Frank Kaminsky,Michael Kidd-Gilchrist,Marco Belinelli,Jeremy Lamb,Mike Tobey,Brian Roberts,,,,,,
19495,DET,2017,Kentavious Caldwell-Pope,Jon Leuer,Marcus Morris,Andre Drummond,Reggie Jackson,Tobias Harris,Ish Smith,Stanley Johnson,Reggie Bullock,Aron Baynes,,,,,
19496,LAC,2017,Austin Rivers,Blake Griffin,DeAndre Jordan,J.J. Redick,Luc Mbah a Moute,Jamal Crawford,Raymond Felton,Marreese Speights,Brandon Bass,Wesley Johnson,Brice Johnson,,,,
19497,GSW,2017,Kevin Durant,Stephen Curry,Klay Thompson,Draymond Green,Zaza Pachulia,Andre Iguodala,Shaun Livingston,Patrick McCaw,JaVale McGee,David West,Ian Clark,James Michael McAdoo,Briante Weber,,
19498,HOU,2017,Patrick Beverley,James Harden,Trevor Ariza,Ryan Anderson,Nenê,Eric Gordon,Lou Williams,Sam Dekker,Clint Capela,Montrezl Harrell,Bobby Brown,,,,
19499,NOP,2017,Jrue Holiday,DeMarcus Cousins,Anthony Davis,Solomon Hill,E'Twaun Moore,Dante Cunningham,Omri Casspi,Tim Frazier,Donatas Motiejūnas,Hollis Thompson,,,,,
19500,POR,2017,Maurice Harkless,CJ McCollum,Jusuf Nurkić,Damian Lillard,Noah Vonleh,Shabazz Napier,Allen Crabbe,Ed Davis,Meyers Leonard,Jake Layman,,,,,
19501,ORL,2017,Evan Fournier,Terrence Ross,Nikola Vučević,Aaron Gordon,Elfrid Payton,D.J. Augustin,Mario Hezonja,Jeff Green,Bismack Biyombo,,,,,,
19502,DEN,2017,Gary Harris,Danilo Gallinari,Jameer Nelson,Nikola Jokić,Kenneth Faried,Will Barton,Wilson Chandler,Mason Plumlee,Jamal Murray,Juancho Hernangómez,Mike Miller,,,,
19503,SAC,2017,Darren Collison,Anthony Tolliver,Ty Lawson,Ben McLemore,Kosta Koufos,Willie Cauley-Stein,Buddy Hield,Tyreke Evans,Skal Labissière,,,,,,
19504,MIA,2017,Dion Waiters,Goran Dragić,Hassan Whiteside,Rodney McGruder,Luke Babbitt,Tyler Johnson,Willie Reed,Wayne Ellington,Okaro White,James Johnson,Josh Richardson,,,,
19505,ATL,2017,Paul Millsap,Tim Hardaway Jr.,Malcolm Delaney,Dwight Howard,Kent Bazemore,Thabo Sefolosha,Mike Muscala,Ersan İlyasova,Taurean Prince,Mike Dunleavy,Kris Humphries,DeAndre' Bembry,Lamar Patterson,,
19506,PHO,2017,Devin Booker,Eric Bledsoe,T.J. Warren,Alex Len,Marquese Chriss,Jared Dudley,Leandro Barbosa,Alan Williams,Derrick Jones Jr.,Tyler Ulis,,,,,
19507,CHI,2017,Jimmy Butler,Robin Lopez,Dwyane Wade,Bobby Portis,Michael Carter-Williams,Nikola Mirotić,Denzel Valentine,Rajon Rondo,Cristiano Felício,Jerian Grant,,,,,
19508,BRK,2017,Brook Lopez,Caris LeVert,Rondae Hollis-Jefferson,Randy Foye,Jeremy Lin,Joe Harris,Spencer Dinwiddie,Trevor Booker,Justin Hamilton,Isaiah Whitehead,Sean Kilpatrick,,,,
19509,DEN,2017,Gary Harris,Danilo Gallinari,Jameer Nelson,Kenneth Faried,Nikola Jokić,Will Barton,Wilson Chandler,Jamal Murray,Mason Plumlee,Darrell Arthur,Juancho Hernangómez,Emmanuel Mudiay,Mike Miller,,
19510,MEM,2017,JaMychal Green,Mike Conley,Marc Gasol,Tony Allen,Chandler Parsons,Zach Randolph,Vince Carter,Toney Douglas,Troy Daniels,James Ennis III,Andrew Harrison,Deyonta Davis,,,
19511,IND,2017,Myles Turner,Paul George,Jeff Teague,Thaddeus Young,C.J. Miles,Monta Ellis,Lavoy Allen,Rodney Stuckey,Glenn Robinson III,Rakeem Christmas,Aaron Brooks,Kevin Séraphin,Joe Young,,
